CCSN_NUM,REPORT_DATE,COMMENTS,MASS_STRAND_NUM,SERIES_NUM,CONDITION_CODE,RESTRAND_YN,GROUP_EVENT_YN,COW_CALF_YN,MASS_STRANDING_YN,NUM_ANIMALS,NUM_ANIMALS_UNITS,EXAM_DATE,EXAM_COND_ID,LOCATION,TOWN,LATITUDE_DEGREE,LONGITUDE_DEGREE,LAT_ACTUAL,LON_ACTUAL,LAT_ACHIEVED,LOCATION_DETAIL,SPECIES,Corrected Latitude,Corrected Longitude
CCSN99-046,3/7/99,"Animal stranded alive with 5 others, animal seemed to die on its own after only 1-2cc Fatal-Plus euthanasia solution.",MS99-01,,1,0,0,0,0,1,Actual,,,Chipman's Cove,Wellfleet,41.91666667,70.03333333,,,,Chipman's Cove,Lagenorhynchus acutus,41.91666667,-70.03333333
CCSN99-049,3/7/99,"Red tag # 64; Found dead 03-09-99.  Animal swam across C.Cove toward open water. Re-stranded ~ 1-1.5hrs later, on op. side of cove. CCSN & NEAq deemed candidate for release. Transported to mouth of C.Cove, unable to maintain balance. Found dead 03/09/1999",MS99-01,,1,0,0,0,0,1,Actual,,,Chipman's Cove,Wellfleet,41.91666667,70.03333333,,,,Chipman's Cove,Lagenorhynchus acutus,41.91666667,-70.03333333
CCSN99-051,3/7/99,Found dead later on 03-07-99.  Animal not found until 18:30,MS99-01,,1,0,0,0,0,1,Actual,,,Chipman' Cove,Wellfleet,41.91666667,70.03333333,,,,Chipman' Cove,Lagenorhynchus acutus,41.91666667,-70.03333333
CCSN99-050,3/7/99,"Orange tag #8; Found dead on 03-10-99

Animal self-released, found at Great Island, Wellfleet.",MS99-01,,1,0,0,0,0,1,Actual,,,Chipman's Cove,Wellfleet,41.91666667,70.03333333,,,,Chipman's Cove,Lagenorhynchus acutus,41.91666667,-70.03333333
CCSN99-047,3/7/99,"lactating female, with near-term fetus, R lung dependant and heavy (fluid-filled), mud in mouth and oesophagus, stomach empty,  bladder empty.  Cause of death determined to be exposure and stress in association with stranding in ass. With near-term fetus.",MS99-01,,2,0,-1,0,-1,6,Actual,,,Chipman's Cove,Wellfleet,41.91666667,70.03333333,,,,Chipman's Cove,Lagenorhynchus acutus,41.91666667,-70.03333333
CCSN99-048,3/7/99,White cattle ear tag #1135,MS99-01,,2,0,0,0,0,1,Actual,,,Chipman's Cove,Wellfleet,41.91666667,70.03333333,,,,Chipman's Cove,Lagenorhynchus acutus,41.91666667,-70.03333333
CCSN99-104,3/18/99,"white cattle ear tag # 521. Found by Scott Mullen on the 18th, not notified until the 19th, collected by observer and held for NEAq.",MS99-02,Series00001,2,0,0,0,0,1,Actual,,,Spring Creek,Barnstable,41.71801667,70.36865,,,,Spring Creek,Lagenorhynchus acutus,41.71801667,-70.36865
CCSN99-105,3/18/99,white cattle ear tag # 522,MS99-02,Series00001,2,0,0,0,0,1,Actual,,,Spring Creek,Barnstable,41.71801667,70.36865,,,,Spring Creek,Lagenorhynchus acutus,41.71801667,-70.36865
CCSN99-108,3/18/99,white cattle ear tag # 525,MS99-02,Series00001,2,0,0,0,0,1,Actual,,,Spring Creek,Barnstable,41.7186,-70.3682,,,,Spring Creek,Lagenorhynchus acutus,41.7186,-70.3682
CCSN99-106,3/18/99,white cattle ear tag # 523. ultra sound analysis of blubber thickness by Carolyn Miller and Michael Moore.,MS99-02,Series00001,2,0,0,0,0,1,Actual,,,Spring Creek,Barnstable,41.71801667,70.36865,,,,Spring Creek,Lagenorhynchus acutus,41.71801667,-70.36865
CCSN99-107,3/18/99,white cattle ear tag # 524. Unltra sound of blubber thickness taken by Carolyn Miller and Michael Moore.,MS99-02,Series00001,2,0,0,0,0,1,Actual,,,Spring Creek,Barnstable,41.71801667,70.36865,,,,Spring Creek,Lagenorhynchus acutus,41.71801667,-70.36865
CCSN99-064,3/19/99,White cattle ear tag # 288,MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Chipman's Cove,Wellfleet,41.9339,70.0162,,,,Chipman's Cove,Lagenorhynchus acutus,41.9339,-70.0162
CCSN99-065,3/19/99,White cattle ear tag # 289,MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Chipman's Cove,Wellfleet,41.9339,70.0162,,,,Chipman's Cove,Lagenorhynchus acutus,41.9339,-70.0162
CCSN99-067,3/19/99,yellow knife tag # 11,MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Old Wharf Road,Wellfleet,41.90543333,69.99921667,,,,Old Wharf Road,Lagenorhynchus acutus,41.90543333,-69.99921667
CCSN99-068,3/19/99,white cattle ear tag # 1003,MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Old Wharf Road,Wellfleet,41.90543333,69.99921667,,,,Old Wharf Road,Lagenorhynchus acutus,41.90543333,-69.99921667
CCSN99-072,3/19/99,yellow knife tag # 67,MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Blackfish Creek,Wellfleet,41.91331667,69.98873333,,,,Blackfish Creek,Lagenorhynchus acutus,41.91331667,-69.98873333
CCSN99-074,3/19/99,yellow tag # 99,MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Blackfish Creek,Wellfleet,41.91331667,69.98873333,,,,Blackfish Creek,Lagenorhynchus acutus,41.91331667,-69.98873333
CCSN99-075,3/19/99,red cattle ear tag # 174,MS99-03,Series00001,1,0,0,0,0,1,Actual,,,Blackfish Creek,Wellfleet,41.91331667,69.98873333,,,,Blackfish Creek,Lagenorhynchus acutus,41.91331667,-69.98873333
