Strand_IDTest,Date_,Field_Species_ID,Type,No_Strand,Region,Location_Desc,Lat,Long,No_Refloat,No_Restrand,Comments_General,Record_type,Incident_type,Cond_Animal,Contrib_Fa,Reformatted Date
1326,26/01/1990,DELPHINUS DELPHIS,>1 individual unless mother and calf,14,chatham islands,WAIKAREPI (BAY SOUTH OF RADIO STATION BEACH),-43.9616,-176.5805,0,0,"DEAD WHEN FOUND. STRANDED ON ROCKY COAST, WEATHER CALM, SEAS SLIGHT",,Stranding,Unknown,Stranding,1/26/90
1329,31/01/1990,ZIPHIUS CAVIROSTRIS,>1 individual unless mother and calf,2,chatham islands,"WAITANGI BEACH, SOUTH END",-43.9525,-176.5555,0,0,MALE AND FEMALE BOTH DEAD,,Stranding,Freshly dead,Stranding,1/31/90
1336,5/2/90,UNKNOWN DOLPHIN,>1 individual unless mother and calf,2,west coast,"CEMENT WORKS FARM,HOKITIKA",,,1,0,1 DOLPHIN DEAD ON BEACH AND A SMALLER DOLPHIN WAS STRANDED. A FARMER COAXED THE STRANDED DOLPHIN OUT TO SEA,Live Stranding,Stranding,Freshly dead,Stranding,2/5/90
1341,25/02/1990,GLOBICEPHALA MELAS,>1 individual unless mother and calf,86,tasman,"TAUPATA CREEK BEACH AND PUPONGA,GOLDEN BAY",-40.5506,172.7179,19,66,"20 STRANDED ON THE 25TH. ALL BUT 1 RESCUED. 66 STRANDED THE FOLLOWING DAY AT PUPONGA FORESHORE, PUPONGA POINT PORT PUPONGA AND FAREWELL SPIT. SEA CONDITIONS ROUGH, BIG TIDE, STRONG W/SW WINDS, SHOWER, ALL 66 DIED.",Live Stranding,Stranding,Live,Stranding,2/25/90
1346,20/03/1990,MESOPLODON GRAYI,>1 individual unless mother and calf,4,northland,"WAIKUKU BEACH, NORTH CAPE",-34.4233,173.0124,0,0,"MALES, MEAN LENGTH: 4.4375M, SD: 0.18M, RANDE: 4.2-4.6M",Beach cast,Death Report,Decomposed,Beachcast,3/20/90
1355,7/5/90,MESOPLODON SP,>1 individual unless mother and calf,3,chatham islands,"PARITU, APPROX 100M FROM TIDE LINE IN LOWER REACHES OF CREEK BED",-43.8114,-176.6105,0,0,"DECOMPOSITION ADVANCING- CARCASS JUST BEGINNING TO BREAK UP. EVIDENCE OF SCAVENGERS- BIRDS. MEASUREMENTS OMITTED, DUE TO INABILITY TO POSITIVELY IDENTIFY REF POINTS.",,Stranding,Decomposed,Stranding,5/7/90
1360,10/6/90,ORCINUS ORCA,>1 individual unless mother and calf,3,otago,WESTWOOD,-45.9358,170.3715,2,0,3 WHALES REPORTED STRANDED ON BEACH. MEMBER OF PUBLIC MANAGED TO REFLOAT TWO. OTHER DIED. ANIMAL APPEARED TO BE A CALF AS THERE WAS STILL A VESTIGE OF THE UMBILICAL CORD ATTACHED AND THE TEETH HAD NOT YET ERUPTED.,Live Stranding,Stranding,Live,Stranding,6/10/90
1362,18/06/1990,STENO BREDANENSIS,>1 individual unless mother and calf,4,marlborough,"MOUTH OF WOODSIDE CREEK,BLENHEIM",-41.9328,174.0943,0,0,ONE HAD VERY SEVERE SHARK BITES AND ALL HAD BROKEN OR PART BROKEN ROSTRUMS,Beach cast,Death Report,Freshly dead,Beachcast,6/18/90
1373,16/09/1990,TURSIOPS TRUNCATUS,>1 individual unless mother and calf,7,northland,MANGAWHAI HEADS NZMS 260 R08 543 675,-36.083,174.5919,7,0,ANOTHER GROUP REPORTED OFF MAIN CHANNEL,Live Stranding,Stranding,Live,Stranding,9/16/90
1376,6/10/90,GLOBICEPHALA MELAS,>1 individual unless mother and calf,15,bay of plenty,2KM EAST OF TARAREWA RIVER MOUTH,-37.8923,176.8128,4,0,PART OF A POD OF 40-50 INDIVIDUALS,Live Stranding,Stranding,Live,Stranding,10/6/90
