Class,Event,Individuals/event,National Reference,Species (scientific),Species (common),Species Uncertain,Date Found,Date Certainty,Year,Location,Local Authority,Region,Country,Grid Ref,Easting,Northing,Latitude,Longitude,Sex,Length,Length Uncertain,Stranding Type,Condition Found / Stranding Outcome,Sent for PM,PM Number,Cause of Death,Cause of Death Category,Cause of Death Class,Edited Nat. Ref.
Cetacean,Multiple,3,SW1991/102c,Phocoena phocoena,Harbour porpoise,FALSE,8/23/91,exact,1991,Aberporth,Ceredigion,West coast,Wales,SN259515,225900,251500,,,U,N/A,TRUE,dead stranded,unknown,FALSE,,,,,SW1991/102
Cetacean,Multiple,3,SW1991/102d,Phocoena phocoena,Harbour porpoise,FALSE,8/23/91,exact,1991,Aberporth,Ceredigion,West coast,Wales,SN259515,225900,251500,,,U,N/A,TRUE,dead stranded,unknown,FALSE,,,,,SW1991/102
Cetacean,Multiple,3,SW1991/102e,Phocoena phocoena,Harbour porpoise,FALSE,8/23/91,exact,1991,Aberporth,Ceredigion,West coast,Wales,SN259515,225900,251500,,,U,N/A,TRUE,dead stranded,unknown,FALSE,,,,,SW1991/102
Cetacean,Multiple,3,SW1991/160.1,Lagenorhynchus acutus,Atlantic white-sided dolphin,TRUE,11/19/91,exact,1991,"St. Peters Pool, Deerness, Mainland.",Orkney ,Orkney,Scotland,HY 541 041,354100,1004100,58.92222222,-2.798055556,M,240,FALSE,dead stranded,freshly dead (code 2a),FALSE,,,,,SW1991/160
Cetacean,Multiple,3,SW1991/160.2,Lagenorhynchus acutus,Atlantic white-sided dolphin,TRUE,11/19/91,exact,1991,"St. Peters Pool, Deerness, Mainland.",Orkney ,Orkney,Scotland,HY 541 041,354100,1004100,58.92222222,-2.798055556,F,205,FALSE,dead stranded,freshly dead (code 2a),FALSE,,,,,SW1991/160
Cetacean,Multiple,3,SW1991/160.3,Lagenorhynchus acutus,Atlantic white-sided dolphin,TRUE,11/19/91,exact,1991,"St. Peters Pool, Deerness, Mainland.",Orkney ,Orkney,Scotland,HY 541 041,354100,1004100,58.92222222,-2.798055556,F,204,FALSE,dead stranded,freshly dead (code 2a),FALSE,,,,,SW1991/160
Cetacean,Multiple,3,SW1991/86.1,Unknown,Cetacean (indeterminate species),TRUE,7/14/91,plus/minus 2 weeks,1991,Llanstephan (nr Carmarthen),Carmarthenshire,West coast,Wales,SN35001100,235000,211000,51.7728656,-4.391784834,U,N/A,TRUE,dead stranded,unknown,FALSE,,,,,SW1991/86
Cetacean,Multiple,3,SW1991/86.2,Unknown,Cetacean (indeterminate species),TRUE,7/14/91,plus/minus 2 weeks,1991,Llanstephan (nr Carmarthen),Carmarthenshire,West coast,Wales,SN35001101,235000,211010,51.77295544,-4.391789586,U,N/A,TRUE,dead stranded,unknown,FALSE,,,,,SW1991/86
Cetacean,Multiple,3,SW1991/86.3,Unknown,Cetacean (indeterminate species),TRUE,7/14/91,plus/minus 2 weeks,1991,Llanstephan (nr Carmarthen),Carmarthenshire,West coast,Wales,SN35011100,235010,211000,51.77286854,-4.391640014,U,N/A,TRUE,dead stranded,unknown,FALSE,,,,,SW1991/86
Cetacean,Multiple,3,SW1992/48a.1,Unknown,Dolphin (indeterminate species),TRUE,3/6/92,exact,1992,"Top Tieb harbour, Marazion",Cornwall,South-west,England,SW52003044,152000,30440,50.12150479,-5.469904683,U,199,FALSE,dead stranded,moderate-advanced decomposition (code 3-4),FALSE,,,,,SW1992/48a
